order,fold,ngram_min,ngram_max,c,class_weight,min_df,sublinear_tf,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
32,5,2,5,3.0,,1,False,268,66,268,69,0.9696969696969697,0.9625,0.96
33,1,2,5,3.0,,1,True,267,67,270,67,0.9850746268656716,0.9836257309941521,0.9800000000000001
33,2,2,5,3.0,,1,True,267,67,270,67,0.9701492537313433,0.971076711386309,0.9788888888888889
33,3,2,5,3.0,,1,True,267,67,270,67,0.9552238805970149,0.9474956622325044,0.945
33,4,2,5,3.0,,1,True,267,67,270,67,1.0,1.0,1.0
33,5,2,5,3.0,,1,True,268,66,268,69,0.9696969696969697,0.9625,0.96
34,1,2,5,3.0,,2,False,267,67,270,67,0.9850746268656716,0.9822222222222223,0.9800000000000001
34,2,2,5,3.0,,2,False,267,67,270,67,0.9701492537313433,0.971076711386309,0.9788888888888889
34,3,2,5,3.0,,2,False,267,67,270,67,0.9253731343283582,0.9166477090161301,0.9207142857142857
34,4,2,5,3.0,,2,False,267,67,270,67,1.0,1.0,1.0
34,5,2,5,3.0,,2,False,268,66,268,69,0.9696969696969697,0.9625,0.96
35,1,2,5,3.0,,2,True,267,67,270,67,0.9850746268656716,0.9836257309941521,0.9800000000000001
35,2,2,5,3.0,,2,True,267,67,270,67,0.9850746268656716,0.9830065359477125,0.9888888888888889
35,3,2,5,3.0,,2,True,267,67,270,67,0.9552238805970149,0.9474956622325044,0.945
35,4,2,5,3.0,,2,True,267,67,270,67,1.0,1.0,1.0
35,5,2,5,3.0,,2,True,268,66,268,69,0.9696969696969697,0.9625,0.96
36,1,2,5,3.0,balanced,1,False,267,67,270,67,0.9850746268656716,0.9822222222222223,0.9800000000000001
36,2,2,5,3.0,balanced,1,False,267,67,270,67,0.9701492537313433,0.971076711386309,0.9788888888888889
36,3,2,5,3.0,balanced,1,False,267,67,270,67,0.9104477611940298,0.9026219205630971,0.9096031746031746
36,4,2,5,3.0,balanced,1,False,267,67,270,67,0.9850746268656716,0.987450980392157,0.9888888888888889
36,5,2,5,3.0,balanced,1,False,268,66,268,69,0.9696969696969697,0.9625,0.96
37,1,2,5,3.0,balanced,1,True,267,67,270,67,0.9850746268656716,0.9836257309941521,0.9800000000000001
37,2,2,5,3.0,balanced,1,True,267,67,270,67,0.9701492537313433,0.971076711386309,0.9788888888888889
37,3,2,5,3.0,balanced,1,True,267,67,270,67,0.9552238805970149,0.9474956622325044,0.945
37,4,2,5,3.0,balanced,1,True,267,67,270,67,1.0,1.0,1.0
37,5,2,5,3.0,balanced,1,True,268,66,268,69,0.9696969696969697,0.9625,0.96
38,1,2,5,3.0,balanced,2,False,267,67,270,67,0.9850746268656716,0.9822222222222223,0.9800000000000001
38,2,2,5,3.0,balanced,2,False,267,67,270,67,0.9701492537313433,0.971076711386309,0.9788888888888889
38,3,2,5,3.0,balanced,2,False,267,67,270,67,0.9104477611940298,0.9050854700854701,0.9096031746031746
38,4,2,5,3.0,balanced,2,False,267,67,270,67,1.0,1.0,1.0
38,5,2,5,3.0,balanced,2,False,268,66,268,69,0.9696969696969697,0.9625,0.96
39,1,2,5,3.0,balanced,2,True,267,67,270,67,0.9850746268656716,0.9836257309941521,0.9800000000000001
39,2,2,5,3.0,balanced,2,True,267,67,270,67,0.9701492537313433,0.971076711386309,0.9788888888888889
39,3,2,5,3.0,balanced,2,True,267,67,270,67,0.9552238805970149,0.9474956622325044,0.945
39,4,2,5,3.0,balanced,2,True,267,67,270,67,1.0,1.0,1.0
39,5,2,5,3.0,balanced,2,True,268,66,268,69,0.9696969696969697,0.9625,0.96
40,1,2,5,10.0,,1,False,267,67,270,67,0.9850746268656716,0.9822222222222223,0.9800000000000001
40,2,2,5,10.0,,1,False,267,67,270,67,0.9850746268656716,0.9830065359477125,0.9888888888888889
40,3,2,5,10.0,,1,False,267,67,270,67,0.9402985074626866,0.9309334233018444,0.9349999999999999
40,4,2,5,10.0,,1,False,267,67,270,67,1.0,1.0,1.0
40,5,2,5,10.0,,1,False,268,66,268,69,0.9696969696969697,0.9625,0.96
41,1,2,5,10.0,,1,True,267,67,270,67,0.9850746268656716,0.9836257309941521,0.9800000000000001
41,2,2,5,10.0,,1,True,267,67,270,67,0.9850746268656716,0.9830065359477125,0.9888888888888889
41,3,2,5,10.0,,1,True,267,67,270,67,0.9552238805970149,0.9474956622325044,0.945
41,4,2,5,10.0,,1,True,267,67,270,67,1.0,1.0,1.0
41,5,2,5,10.0,,1,True,268,66,268,69,0.9696969696969697,0.9625,0.96
42,1,2,5,10.0,,2,False,267,67,270,67,0.9850746268656716,0.9822222222222223,0.9800000000000001
42,2,2,5,10.0,,2,False,267,67,270,67,0.9850746268656716,0.9830065359477125,0.9888888888888889
42,3,2,5,10.0,,2,False,267,67,270,67,0.9402985074626866,0.9350854700854703,0.9349999999999999
42,4,2,5,10.0,,2,False,267,67,270,67,1.0,1.0,1.0
42,5,2,5,10.0,,2,False,268,66,268,69,0.9696969696969697,0.9625,0.96
43,1,2,5,10.0,,2,True,267,67,270,67,0.9850746268656716,0.9836257309941521,0.9800000000000001
43,2,2,5,10.0,,2,True,267,67,270,67,0.9850746268656716,0.9830065359477125,0.9888888888888889
43,3,2,5,10.0,,2,True,267,67,270,67,0.9552238805970149,0.9474956622325044,0.945
43,4,2,5,10.0,,2,True,267,67,270,67,1.0,1.0,1.0
43,5,2,5,10.0,,2,True,268,66,268,69,0.9696969696969697,0.9625,0.96
44,1,2,5,10.0,balanced,1,False,267,67,270,67,0.9850746268656716,0.9822222222222223,0.9800000000000001
44,2,2,5,10.0,balanced,1,False,267,67,270,67,0.9850746268656716,0.9830065359477125,0.9888888888888889
44,3,2,5,10.0,balanced,1,False,267,67,270,67,0.9552238805970149,0.9537112010796222,0.96
44,4,2,5,10.0,balanced,1,False,267,67,270,67,1.0,1.0,1.0
44,5,2,5,10.0,balanced,1,False,268,66,268,69,0.9696969696969697,0.9625,0.96
